Date,Close,t,y
3/3/2015,2107.78,1,7.65339054
3/2/2015,2117.39,3,7.657939477
2/27/2015,2104.5,1,7.651833188
2/26/2015,2110.74,1,7.654793876
2/25/2015,2113.86,1,7.656270939
2/24/2015,2115.48,1,7.657037016
2/23/2015,2109.66,3,7.654282076
2/20/2015,2110.3,1,7.654585396
2/19/2015,2097.45,1,7.6484776
2/18/2015,2099.68,1,7.649540231
2/17/2015,2100.34,4,7.649854515
2/13/2015,2096.99,1,7.648258262
2/12/2015,2088.48,1,7.644191808
2/11/2015,2068.53,1,7.634593489
2/10/2015,2068.59,1,7.634622495
2/9/2015,2046.74,3,7.624003562
2/6/2015,2055.47,1,7.628259811
2/5/2015,2062.52,1,7.631683815
2/4/2015,2041.51,1,7.621445009
2/3/2015,2050.03,1,7.625609706
2/2/2015,2020.85,3,7.611273494
1/30/2015,1994.99,1,7.598394317
1/29/2015,2021.25,1,7.611471411
1/28/2015,2002.16,1,7.601981877
1/27/2015,2029.55,1,7.615569373
1/26/2015,2057.09,3,7.629047642
1/23/2015,2051.82,1,7.626482483
1/22/2015,2063.15,1,7.63198922
1/21/2015,2032.12,1,7.616834862
1/20/2015,2022.55,4,7.612114371
1/16/2015,2019.42,1,7.61056562
1/15/2015,1992.67,1,7.597230727
1/14/2015,2011.27,1,7.606521642
1/13/2015,2023.03,1,7.612351667
1/12/2015,2028.26,3,7.614933562
1/9/2015,2044.81,1,7.623060155
1/8/2015,2062.14,1,7.631499558
1/7/2015,2025.9,1,7.613769325
1/6/2015,2002.61,1,7.602206609
1/5/2015,2020.58,3,7.611139878
1/2/2015,2058.2,2,7.629587093
12/31/2014,2058.9,1,7.629927139
12/30/2014,2080.35,1,7.640291428
12/29/2014,2090.57,3,7.645192035
12/26/2014,2088.77,2,7.644330655
12/24/2014,2081.88,1,7.641026611
12/23/2014,2082.17,1,7.641165898
12/22/2014,2078.54,3,7.639421003
12/19/2014,2070.65,1,7.635617847
12/18/2014,2061.23,1,7.631058171
12/17/2014,2012.89,1,7.607326779
12/16/2014,1972.74,1,7.587178718
12/15/2014,1989.63,3,7.595703971
12/12/2014,2002.33,1,7.602066781
12/11/2014,2035.33,1,7.618413247
12/10/2014,2026.14,1,7.613887784
12/9/2014,2059.82,1,7.630373879
12/8/2014,2060.31,3,7.630611736
12/5/2014,2075.37,1,7.63789473
12/4/2014,2071.92,1,7.636230993
12/3/2014,2074.33,1,7.637393489
12/2/2014,2066.55,1,7.633635829
12/1/2014,2053.44,3,7.627271715
11/28/2014,2067.56,2,7.634124447
11/26/2014,2072.83,1,7.636670102
11/25/2014,2067.03,1,7.633868073
11/24/2014,2069.41,3,7.635018821
11/21/2014,2063.5,1,7.632158849
11/20/2014,2052.75,1,7.626935637
11/19/2014,2048.72,1,7.624970487
11/18/2014,2051.8,1,7.626472736
11/17/2014,2041.32,3,7.621351936
11/14/2014,2039.82,1,7.620616848
11/13/2014,2039.33,1,7.620376602
11/12/2014,2038.25,1,7.619846876
11/11/2014,2039.68,1,7.620548212
11/10/2014,2038.26,3,7.619851782
11/7/2014,2031.92,1,7.616736438
11/6/2014,2031.21,1,7.616386954
11/5/2014,2023.57,1,7.612618557
11/4/2014,2012.1,1,7.606934232
11/3/2014,2017.81,3,7.609768044
10/31/2014,2018.05,1,7.609886978
10/30/2014,1994.65,1,7.598223875
10/29/2014,1982.3,1,7.592013066
10/28/2014,1985.05,1,7.593399382
10/27/2014,1961.63,3,7.581531039
10/24/2014,1964.58,1,7.583033761
10/23/2014,1950.82,1,7.576005076
10/22/2014,1927.11,1,7.56377675
10/21/2014,1941.28,1,7.571102828
10/20/2014,1904.01,3,7.551717467
10/17/2014,1886.76,1,7.542616351
10/16/2014,1862.76,1,7.529814538
10/15/2014,1862.49,1,7.529669581
10/14/2014,1877.7,1,7.537802903
10/13/2014,1874.74,3,7.536225262
10/10/2014,1906.13,1,7.552830288
10/9/2014,1928.21,1,7.56434739
10/8/2014,1968.89,1,7.585225211
10/7/2014,1935.1,1,7.567914284
10/6/2014,1964.82,3,7.583155917
10/3/2014,1967.9,1,7.584722263
10/2/2014,1946.17,1,7.573618618
10/1/2014,1946.16,1,7.573613479
9/30/2014,1972.29,1,7.586950583
9/29/2014,1977.8,3,7.589740395
9/26/2014,1982.85,1,7.592290483
9/25/2014,1965.99,1,7.583751214
9/24/2014,1998.3,1,7.600052098
9/23/2014,1982.77,1,7.592250136
9/22/2014,1994.29,3,7.598043376
9/19/2014,2010.4,1,7.606088986
9/18/2014,2011.36,1,7.606566389
9/17/2014,2001.57,1,7.601687152
9/16/2014,1998.98,1,7.600392329
9/15/2014,1984.13,3,7.59293581
9/12/2014,1985.54,1,7.593646196
9/11/2014,1997.45,1,7.599626646
9/10/2014,1995.69,1,7.598745134
9/9/2014,1988.44,1,7.595105691
9/8/2014,2001.54,3,7.601672163
9/5/2014,2007.71,1,7.604750048
9/4/2014,1997.65,1,7.599726769
9/3/2014,2000.72,1,7.601262395
9/2/2014,2002.28,4,7.60204181
8/29/2014,2003.37,1,7.602586042
8/28/2014,1996.74,1,7.59927113
8/27/2014,2000.12,1,7.600962458
8/26/2014,2000.02,1,7.600912459
8/25/2014,1997.92,3,7.599861918
8/22/2014,1988.4,1,7.595085574
8/21/2014,1992.37,1,7.597080164
8/20/2014,1986.51,1,7.594134609
8/19/2014,1981.6,1,7.591659878
8/18/2014,1971.74,3,7.586671681
8/15/2014,1955.06,1,7.578176162
8/14/2014,1955.18,1,7.57823754
8/13/2014,1946.72,1,7.573901184
8/12/2014,1933.75,1,7.567216402
8/11/2014,1936.92,3,7.568854362
8/8/2014,1931.59,1,7.566098777
8/7/2014,1909.57,1,7.554633365
8/6/2014,1920.24,1,7.560205457
8/5/2014,1920.21,1,7.560189834
8/4/2014,1938.99,3,7.569922498
8/1/2014,1925.15,1,7.562759166
7/31/2014,1930.67,1,7.565622372
7/30/2014,1970.07,1,7.585824354
7/29/2014,1969.95,1,7.585763441
7/28/2014,1978.91,3,7.590301467
7/25/2014,1978.34,1,7.590013388
7/24/2014,1987.98,1,7.594874327
7/23/2014,1987.01,1,7.594386275
7/22/2014,1983.53,1,7.592633365
7/21/2014,1973.63,3,7.587629766
7/18/2014,1978.22,1,7.589952729
7/17/2014,1958.12,1,7.579740108
7/16/2014,1981.57,1,7.591644739
7/15/2014,1973.28,1,7.587452412
7/14/2014,1977.1,3,7.589386404
